0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:35 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:35 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:35 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:36 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:36 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:36 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:36 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:36 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:36 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:37 -0300] "GET /PCRS/static/crs/images/joomla/bottomAjustaReserva.JPG HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:43 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 4179
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/css/jquery-ui-1.8.23/css/ui-lightness/jquery-ui-1.8.23.custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/crs/customForms/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/crs/css/crs.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/js/jquery-1.8.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/js/jquery.center.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/crs/customForms/js/custom-form-elements.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.mouse.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.widget.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:16:20 -0300] "GET /PCRS/static/main/js/jquery.ba-hashchange.js HTTP/1.1" 304 -
